Parent Name,Parent SKU,Child Name,Child SKU,Price,Unit
"Semillas de linaza","DE-0911","Semillas de linaza x libra","DE-1133",0,"Kg"
"Semillas de linaza","DE-0911","Semillas de linaza x 250grs.","DE-0945",0,"Kg"
"Platano maduro","HO-0158","Platano pica verde","DE-1402",0,"Kg"
